transect_id,domain_number,line_id,position_1997_m,position_2009_m,change_m,rate_m_yr,start_vintage,end_vintage,start_date,end_date,start_date_assumed,end_date_assumed,interval_yr
dune_350,68,350,2551.886,2555.431,-3.545,-0.3048,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_351,68,351,2532.421,2526.416,6.004,0.5163,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_352,68,352,2513.291,2504.449,8.842,0.7603,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_353,68,353,2493.175,2483.051,10.123,0.8704,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_354,69,354,2472.639,2457.267,15.372,1.3217,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_355,69,355,2454.376,2436.684,17.692,1.5212,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_356,69,356,2431.825,2417.309,14.517,1.2482,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_357,69,357,2410.244,2404.05,6.194,0.5326,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_358,69,358,2391.049,2391.4,-0.351,-0.0302,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_359,70,359,2372.436,2374.498,-2.062,-0.1773,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_360,70,360,2352.71,2357.365,-4.656,-0.4003,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_361,70,361,2332.695,2339.525,-6.83,-0.5872,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_362,70,362,2315.304,2321.556,-6.252,-0.5375,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_363,70,363,2297.913,2299.213,-1.301,-0.1119,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_364,71,364,2280.521,2277.919,2.603,0.2238,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_365,71,365,2261.466,2263.772,-2.306,-0.1983,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_366,71,366,2243.371,2248.733,-5.362,-0.4611,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_367,71,367,2225.276,2232.092,-6.816,-0.5861,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_368,71,368,2209.18,2216.295,-7.115,-0.6118,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_369,72,369,2196.119,2203.304,-7.185,-0.6178,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_370,72,370,2186.035,2191.518,-5.483,-0.4714,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_371,72,371,2177.312,2179.839,-2.527,-0.2172,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_372,72,372,2168.305,2167.976,0.33,0.0283,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
dune_373,72,373,2152.649,2153.782,-1.133,-0.0974,1997,2009,1997-10-12,2009-05-30,False,False,11.6304
